"country"	"Percentage_mobile"	"Total_pageviews"
"Andorra"	0.34718826405868	409000
"United Arab Emirates"	0.388483569490503	33170000
"Afghanistan"	0.296296296296296	1539000
"Antigua and Barbuda"	0.426914153132251	431000
"Anguilla"	0.357142857142857	42000
"Albania"	0.311614730878187	7413000
"Armenia"	0.172862867319679	8984000
"Angola"	0.555818353831599	6342000
"Argentina"	0.322370226075505	145792000
"American Samoa"	0.301369863013699	73000
"Austria"	0.277511687503582	122139000
"Australia"	0.369099469097466	249575000
"Aruba"	0.469902912621359	515000
"Aland Islands"	0.366300366300366	273000
"Azerbaijan"	0.348408076835816	13223000
"Bosnia and Herzegovina"	0.230791229742612	10490000
"Barbados"	0.394489247311828	1488000
"Bangladesh"	0.5784802378454	22872000
"Belgium"	0.261716510446527	75001000
"Burkina Faso"	0.3824	1250000
"Bulgaria"	0.187498082057262	32587000
"Bahrain"	0.467496834107218	4738000
"Burundi"	0.538888888888889	360000
"Benin"	0.451841359773371	1412000
"Bermuda"	0.288288288288288	444000
"Brunei Darussalam"	0.476260581523739	2717000
"Bolivia"	0.373584381296464	14393000
"Brazil"	0.334955022559663	317159000
"Bahamas"	0.404318689501117	1343000
"Bhutan"	0.452830188679245	424000
"Botswana"	0.436247723132969	1098000
"Belarus"	0.228639608058453	47354000
"Belize"	0.273469387755102	735000
"Canada"	0.310500958190504	444588000
"Congo, The Democratic Republic of the"	0.48492286115007	2852000
"Central African Republic"	0.531914893617021	47000
"Congo"	0.653125	320000
"Switzerland"	0.317768808858533	96630000
"Cote d'Ivoire"	0.328034682080925	4152000
"Chile"	0.343220062401274	76601000
"Cameroon"	0.363881401617251	2968000
"China"	0.248365280424467	454971000
"Colombia"	0.330128063427502	135714000
"Costa Rica"	0.449196826011225	15501000
"Cuba"	0.0351239669421488	968000
"Cape Verde"	0.34338747099768	431000
"Cyprus"	0.288860103626943	5404000
"Czech Republic"	0.187449514738682	82945000
"Germany"	0.294111453058256	921195000
"Djibouti"	0.321503131524008	479000
"Denmark"	0.327931045958268	60098000
"Dominica"	0.262237762237762	286000
"Dominican Republic"	0.386113463166808	24801000
"Algeria"	0.185888507660427	29437000
"Ecuador"	0.228330261505997	37437000
"Estonia"	0.162792335869259	14196000
"Egypt"	0.337391354400507	34746000
"Spain"	0.363424839668387	306864000
"Ethiopia"	0.51051930758988	3755000
"Finland"	0.372535712696364	89884000
"Fiji"	0.309421841541756	934000
"Micronesia, Federated States of"	0.277777777777778	36000
"Faroe Islands"	0.268965517241379	435000
"France"	0.293260327050634	609080000
