"project"	"R2"	"Adjusted_R2"	"Last_Pageviews"
"ca.wikipedia"	0.01003274885313	-0.0518402043435493	16890000
"commons.wikimedia"	0.63504517329726	0.612235496628339	215616000
"en.wikipedia"	0.805553160184259	0.793400232695776	7308293000
"es.wikipedia"	0.392082014310048	0.354087140204426	1240997000
"fr.wikipedia"	0.256436793929786	0.209964093550398	672442000
"ar.wikipedia"	0.598510525972442	0.57341743384572	121043000
"ar.wikisource"	0.000115816440721851	-0.0623769450317331	1518000
"arz.wikipedia"	0.00387392367425119	-0.0583839560961081	2894000
"bg.wikipedia"	0.238883543623542	0.191313765100014	21836000
"cs.wikipedia"	0.0322663230687067	-0.0282170317394992	59903000
"de.wikipedia"	0.464638441498075	0.431178344091704	923086000
"en.wikiquote"	0.0838583178304692	0.0265994626948735	9944000
"en.wiktionary"	0.375933225800978	0.336929052413539	59880000
"fa.wikipedia"	0.0227676718972314	-0.0383093486091917	59483000
"hi.wikipedia"	0.452936421255532	0.418744947584003	10149000
"hr.wikipedia"	0.191360654453553	0.1408206953569	16752000
"it.wikipedia"	0.707318720968713	0.689026141029258	493922000
"ja.wikipedia"	0.448839480132854	0.414391947641157	1151026000
"lt.wikisource"	0.0794820389165926	0.0219496663488796	28000
"meta.wikimedia"	0.000223047628469948	-0.0622630118947507	7214000
"ml.wikipedia"	0.0302003573187329	-0.0304121203488463	1587000
"ml.wiktionary"	0.0153402175584456	-0.0462010188441515	196000
"no.wikipedia"	0.11686526809503	0.061669347350969	42198000
"pt.wikipedia"	0.549991530350136	0.52186600099702	345858000
"ru.wikipedia"	0.215997239538464	0.166997067009618	1174395000
"simple.wikipedia"	0.0335286807002537	-0.0268757767559804	11585000
"th.wikipedia"	0.598968101522322	0.573903607867467	46875000
"tr.wikipedia"	0.378125608338252	0.339258458859393	118284000
"ur.wikipedia"	0.00854462816694897	-0.0534213325726167	1852000
"zh.wikipedia"	0.00258444602577368	-0.0597540260976155	489790000
"fa.wikisource"	0.0789638508367397	0.021399091514036	475000
"ang.wikipedia"	0.0661712048515228	0.00780690515474303	481000
"bs.wikipedia"	0.0262022984554502	-0.0346600578910841	4289000
"el.wiktionary"	0.00917865733460705	-0.0527476765819799	3296000
"en.wikibooks"	0.561172803570986	0.533746103794173	16748000
"sq.wikipedia"	0.0788598697663835	0.0212886116267824	3608000
"sr.wikipedia"	0.282355528329367	0.237502748849952	18995000
"hy.wikipedia"	0.398247422288026	0.360637886181028	3480000
"hy.wikisource"	0.08686628486343	0.0297954276673943	302000
"hy.wiktionary"	0.0212539769204865	-0.0399176495219831	77000
"ru.wikiquote"	0.13548445229495	0.0814522305633842	2158000
"ru.wikisource"	0.0765087251994243	0.0187905205243883	3337000
"ru.wiktionary"	0.363813081752595	0.324051399362132	16462000
"gu.wikipedia"	0.0990766868244045	0.0427689797509297	763000
"pt.wikibooks"	0.0123595931876088	-0.0493679322381657	1752000
"pt.wikisource"	0.1315418109456	0.0772631741297003	463000
"pt.wiktionary"	0.457416285937432	0.423504803808522	2252000
"vi.wikipedia"	0.0501685631732975	-0.00919590162837136	56395000
"an.wikipedia"	0.0324551956106815	-0.0280163546636509	1497000
"en.wikisource"	0.0594240053816173	0.000638005717968348	5829000
"eo.wikipedia"	1.96338647940132e-06	-0.0624979139018655	2744000
"es.wikibooks"	0.019203421601962	-0.0420963645479153	2677000
"es.wikiquote"	0.000170224252732214	-0.0623191367314722	2102000
"es.wikisource"	0.0408538193131918	-0.0190928169797338	1794000
"es.wikiversity"	0.00251103513409155	-0.0598320251700277	592000
"es.wiktionary"	0.0990480217805865	0.0427385231418731	3e+06
