"project"	"Percentage_mobile"	"Total_pageviews"
"ca.wikipedia"	0.208229721728834	16890000
"commons.wikimedia"	0.398973174532502	215616000
"en.wikipedia"	0.354904490008816	7308293000
"es.wikipedia"	0.34484289647759	1240997000
"fr.wikipedia"	0.321122119082389	672442000
"pt.wikipedia"	0.3233841634428	345858000
"Unknown"	0.00034296493183572	11663000
"ar.wikipedia"	0.470816156241997	121043000
"ar.wikisource"	0.519104084321476	1518000
"arz.wikipedia"	0.330338631651693	2894000
"bg.wikipedia"	0.21038651767723	21836000
"da.wikipedia"	0.405122076148199	29285000
"de.wikipedia"	0.331404657854198	923086000
"el.wikipedia"	0.234128878281623	20950000
"en.wikibooks"	0.173752089801767	16748000
"en.wikiquote"	0.269509251810137	9944000
"en.wikisource"	0.268485160404872	5829000
"en.wiktionary"	0.362575150300601	59880000
"fa.wikipedia"	0.284904930820571	59483000
"fr.wikiquote"	0.234421364985163	674000
"hr.wikipedia"	0.256506685768863	16752000
"id.wikipedia"	0.494844349066356	152842000
"it.wikipedia"	0.444456817068282	493922000
"ja.wikipedia"	0.478137765784613	1151026000
"ml.wikipedia"	0.159420289855072	1587000
"nl.wikipedia"	0.334413237647788	154952000
"pl.wikipedia"	0.19752532753018	272036000
"ru.wikipedia"	0.22535858889045	1174395000
"simple.wikipedia"	0.333534743202417	11585000
"ta.wikipedia"	0.230951675066706	3373000
"tr.wikipedia"	0.416556761692198	118284000
"ur.wikipedia"	0.25377969762419	1852000
"zh.wikipedia"	0.348318667183895	489790000
"ca.wikisource"	0.3984375	128000
"de.wiktionary"	0.249636993186641	8953000
"meta.wikimedia"	0.12933185472692	7214000
"ro.wikipedia"	0.297092195994017	27409000
"sq.wikibooks"	0.179487179487179	78000
"sq.wikipedia"	0.264412416851441	3608000
"hy.wikipedia"	0.189655172413793	3480000
"hy.wikiquote"	0.32	50000
"hy.wikisource"	0.609271523178808	302000
"hy.wiktionary"	0.194805194805195	77000
"ru.wikiquote"	0.325764596848934	2158000
"ru.wikisource"	0.406652682049745	3337000
"dz.wikipedia"	0.0810810810810811	37000
"pt.wikibooks"	0.214041095890411	1752000
"vi.wikipedia"	0.311321925702633	56395000
"an.wikipedia"	0.0981963927855711	1497000
"ay.wikipedia"	0.0569948186528497	193000
"ceb.wikipedia"	0.0873907615480649	2403000
"es.wikibooks"	0.220022413149047	2677000
"es.wikinews"	0.167058823529412	425000
"es.wikiquote"	0.354900095147479	2102000
"es.wikisource"	0.280936454849498	1794000
"es.wikiversity"	0.248310810810811	592000
"es.wiktionary"	0.389	3000000
"fi.wikipedia"	0.441778393443164	60639000
"fr.wiktionary"	0.369119630967405	22979000
"ko.wikipedia"	0.501857039637972	78889000
"nn.wikipedia"	0.145091514143095	3005000
"su.wikipedia"	0.909939148073022	4930000
"bs.wikipedia"	0.224527861972488	4289000
"cs.wikipedia"	0.214697093634709	59903000
"cs.wikiquote"	0.246575342465753	219000
"cy.wikipedia"	0.158878504672897	856000
"de.wikibooks"	0.257186466547952	3931000
"de.wikinews"	0.822645657750092	2729000
"de.wikiquote"	0.234966592427617	898000
"de.wikisource"	0.262751159196291	1294000
"de.wikivoyage"	0.0790133779264214	2392000
"en.wikivoyage"	0.130571578395385	1907000
"eo.wikipedia"	0.19497084548105	2744000
"hu.wikipedia"	0.266734451787833	41307000
"no.wikipedia"	0.246267595620646	42198000
"pl.wiktionary"	0.234001406469761	5688000
"sh.wikipedia"	0.211558774709522	6627000
"sk.wikipedia"	0.183920858297339	14354000
"sl.wikipedia"	0.172944089665059	7673000
"sr.wikipedia"	0.305922611213477	18995000
"sv.wikipedia"	0.384501902321609	103032000
"th.wikibooks"	0.436018957345972	211000
"af.wikipedia"	0.206058471292709	5678000
"als.wikipedia"	0.0949105914718019	1454000
"am.wikipedia"	1	568000
"ar.wikiversity"	0.306818181818182	88000
"arc.wikipedia"	0.089171974522293	157000
"as.wikipedia"	0.147704590818363	501000
"ast.wikipedia"	0.0811724915445321	887000
"av.wikipedia"	0.043010752688172	186000
"bar.wikipedia"	0.0905797101449275	552000
"bat-smg.wikipedia"	0.0192307692307692	312000
"be-x-old.wikipedia"	0.0800615858352579	1299000
"bjn.wikipedia"	0.0857142857142857	210000
"bn.wikipedia"	0.575233981281497	5556000
"bxr.wikipedia"	0.0763052208835341	249000
"en.wikinews"	0.0717703349282297	1881000
"en.wikiversity"	0.167623421354765	1742000
"et.wikipedia"	0.175725241747249	5998000
"eu.wikipedia"	0.215827338129496	2780000
"fo.wikipedia"	0.136518771331058	293000
"gag.wikipedia"	0.0695652173913043	230000
"gd.wikipedia"	0.0573770491803279	732000
"gl.wikipedia"	0.176310415248468	2938000
"gv.wikipedia"	0.05625	320000
"he.wikipedia"	0.411010869829536	41123000
"hi.wikipedia"	0.349394028968371	10149000
"hi.wiktionary"	0.515151515151515	132000
"hsb.wikipedia"	0.0118181818181818	1100000
"is.wikipedia"	0.133663366336634	1414000
"jv.wikipedia"	0.354285714285714	1225000
"ka.wikipedia"	0.127669039145907	4496000
"kg.wikipedia"	0.107142857142857	56000
"kk.wikipedia"	0.209068010075567	16277000
"ko.wiktionary"	0.555023923444976	1881000
"lt.wikipedia"	0.219262929699597	9687000
"map-bms.wikipedia"	0.0275482093663912	363000
"ms.wikipedia"	0.27287853577371	8414000
"nds.wikipedia"	0.173493975903614	415000
"pam.wikipedia"	1	220000
"sw.wikipedia"	0.406127258444619	1273000
"szl.wikipedia"	0.0858585858585859	198000
"th.wikipedia"	0.423445333333333	46875000
"tl.wikipedia"	0.20582558343569	5699000
"tw.wikipedia"	0.0111111111111111	90000
"uk.wikipedia"	0.255239572561186	58020000
"uz.wikipedia"	0.25517063081696	3868000
"vec.wikipedia"	0.0714285714285714	546000
"vls.wikipedia"	0.132791327913279	369000
"vo.wikipedia"	0.102649006622517	906000
"war.wikipedia"	0.108855442772139	2857000
"yo.wikipedia"	0.055045871559633	436000
"zh-classical.wikipedia"	0.0726643598615917	289000
"zh-yue.wikipedia"	0.0291026677445432	2474000
"az.wikibooks"	0.152173913043478	46000
"az.wikipedia"	0.28643119088979	5181000
"az.wikiquote"	0.464968152866242	157000
"az.wikisource"	0.356164383561644	73000
"ru.wiktionary"	0.376928684242498	16462000
"bs.wikibooks"	0.16	25000
"bs.wikiquote"	0.343373493975904	166000
"hr.wikibooks"	0.28	150000
"bn.wikisource"	0.165876777251185	211000
"bpy.wikipedia"	0.0790378006872852	582000
"ks.wikipedia"	0.263157894736842	38000
"fr.wikibooks"	0.201872440023406	1709000
"fr.wikisource"	0.454093705631803	4226000
"fr.wikiversity"	0.268951194184839	963000
"lb.wikipedia"	0.10077519379845	645000
"nl.wikibooks"	0.286274509803922	510000
"nl.wiktionary"	0.311230585424134	1674000
"ro.wikisource"	0.281150159744409	313000
"bg.wikiquote"	0.215686274509804	204000
"bg.wiktionary"	0.520069808027923	573000
"ia.wikipedia"	0.0771349862258953	363000
"mk.wikipedia"	0.0761245674740484	2601000
"mk.wikisource"	0.0789473684210526	38000
"sah.wikipedia"	0.0571428571428571	280000
"ku.wikipedia"	0.0834123222748815	1055000
"nov.wikipedia"	0.0914634146341463	164000
"pt.wikinews"	0.0919117647058824	272000
"pt.wikiquote"	0.233918128654971	684000
"pt.wikisource"	0.24622030237581	463000
"pt.wikiversity"	0.216216216216216	259000
"pt.wiktionary"	0.295737122557726	2252000
"simple.wiktionary"	0.21021021021021	333000
"be.wikipedia"	0.099601593625498	2259000
"ru.wikibooks"	0.210989010989011	910000
"ar.wiktionary"	0.368888888888889	225000
"bcl.wikipedia"	0.178841309823678	397000
"bug.wikipedia"	0.141089108910891	404000
"chr.wiktionary"	0.208955223880597	67000
"co.wiktionary"	0.263157894736842	38000
"cs.wikibooks"	0.170454545454545	88000
"cs.wiktionary"	0.242897727272727	704000
"fiu-vro.wikipedia"	0.0898203592814371	167000
"frr.wikipedia"	0.0553191489361702	235000
"ga.wikipedia"	0.0903790087463557	686000
"gu.wikipedia"	0.132372214941022	763000
"hak.wikipedia"	0.0913978494623656	372000
"he.wikiquote"	0.403669724770642	218000
"he.wikivoyage"	0.344827586206897	58000
"hif.wikipedia"	0.154499151103565	589000
"hu.wikiquote"	0.274285714285714	175000
"id.wikisource"	0.376321353065539	473000
"it.wikiquote"	0.441570298234936	3286000
"it.wikisource"	0.440789473684211	1216000
"it.wiktionary"	0.373896595208071	3172000
"ja.wikiquote"	0.424657534246575	219000
"ko.wikibooks"	0.283783783783784	74000
"ku.wiktionary"	0.349315068493151	292000
"ln.wikipedia"	0.136363636363636	110000
"lt.wiktionary"	0.541666666666667	360000
"lv.wikipedia"	0.186762589928058	3475000
"mdf.wikipedia"	0.0597014925373134	67000
"ml.wikiquote"	0.176470588235294	68000
"mwl.wikipedia"	0.0543478260869565	92000
"no.wiktionary"	0.489028213166144	319000
"nso.wikipedia"	0.0631578947368421	95000
"ny.wikipedia"	0.1	50000
"pa.wikipedia"	0.0883534136546185	498000
"pl.wikinews"	0.0680473372781065	338000
"pl.wikiquote"	0.17428700769579	2209000
"rw.wikipedia"	0.255813953488372	172000
"sa.wikisource"	0.512820512820513	39000
"sk.wiktionary"	0.172413793103448	29000
"stq.wikipedia"	0.0904255319148936	188000
"ta.wiktionary"	0.387464387464387	351000
"th.wiktionary"	0.385185185185185	270000
"tt.wikipedia"	0.161006289308176	795000
"ug.wikipedia"	0.0717131474103586	251000
"uk.wikisource"	0.261904761904762	84000
"uz.wiktionary"	0.141414141414141	99000
"vi.wikisource"	0.224209078404402	727000
"vi.wiktionary"	0.321315623023403	1581000
"zh.wikisource"	0.558252427184466	1236000
"zh.wikivoyage"	0.378787878787879	66000
"zh.wiktionary"	0.494657811146405	3463000
"ja.wiktionary"	0.484805318138651	2106000
"ab.wikipedia"	0.236486486486486	296000
"ace.wikipedia"	0.0709046454767726	1227000
"ak.wikipedia"	0.0923076923076923	65000
"ang.wikipedia"	0.122661122661123	481000
"beta.wikiversity"	0.214285714285714	140000
"bh.wikipedia"	0.123348017621145	227000
"bm.wikipedia"	1	137000
"bo.wikipedia"	0.0893617021276596	235000
"br.wikipedia"	0.0701402805611222	998000
"ca.wikinews"	0.26865671641791	67000
"ca.wikiquote"	0.201970443349754	203000
"cbk-zam.wikipedia"	1	150000
"cdo.wikipedia"	0.035264483627204	794000
"co.wikipedia"	0.100558659217877	537000
"cr.wikipedia"	0.212121212121212	33000
"crh.wikipedia"	0.125925925925926	135000
"csb.wikipedia"	0.0404858299595142	247000
"cv.wikipedia"	0.0856031128404669	257000
"da.wikiquote"	0.34375	64000
"diq.wikipedia"	0.0828220858895705	326000
"es.wikivoyage"	0.231884057971014	207000
"ext.wikipedia"	0.126760563380282	142000
"fj.wikipedia"	0.1875	32000
"frp.wikipedia"	0.0146276595744681	752000
"fur.wikipedia"	0.0434782608695652	391000
"gan.wikipedia"	0.189189189189189	333000
"gn.wikipedia"	0.074468085106383	376000
"he.wiktionary"	0.478260869565217	460000
"ht.wikipedia"	0.0443490701001431	699000
"id.wiktionary"	0.498756218905473	804000
"ii.wikipedia"	0.0689655172413793	29000
"it.wikinews"	0.112280701754386	285000
"it.wikiversity"	0.427440633245383	379000
"it.wikivoyage"	0.228329809725159	473000
"ja.wikibooks"	0.414459161147903	1812000
"ja.wikisource"	0.449152542372881	236000
"ka.wikiquote"	0.223880597014925	67000
"kaa.wikipedia"	0.0602409638554217	83000
"ki.wikipedia"	0.162790697674419	43000
"ksh.wikipedia"	0.0182926829268293	820000
"ky.wikipedia"	0.42713567839196	597000
"la.wikipedia"	0.21905305191101	1753000
"la.wiktionary"	0.107344632768362	177000
"lad.wikipedia"	0.148936170212766	141000
"li.wikipedia"	0.101626016260163	246000
"li.wiktionary"	0.415094339622642	106000
"lij.wikipedia"	0.0851063829787234	141000
"lo.wikipedia"	0.158940397350993	151000
"mg.wiktionary"	0.400375939849624	532000
"mo.wikipedia"	0.0476190476190476	42000
"mzn.wikipedia"	0.043630017452007	573000
"na.wikipedia"	0.109756097560976	82000
"nah.wikipedia"	0.0996168582375479	261000
"nds-nl.wikipedia"	0.0267857142857143	336000
"new.wikipedia"	0.145038167938931	262000
"nl.wikiquote"	0.243421052631579	152000
"nv.wikipedia"	0.104477611940299	134000
"pcd.wikipedia"	0.045	200000
"pdc.wikipedia"	0.0137614678899083	654000
"ps.wikipedia"	0.16289592760181	221000
"rm.wikipedia"	1	652000
"rmy.wikipedia"	0.155844155844156	77000
"ro.wiktionary"	0.446308724832215	298000
"sc.wikipedia"	0.0700934579439252	214000
"sd.wikipedia"	0.12	75000
"se.wikipedia"	0.0610687022900763	262000
"simple.wikiquote"	0.376623376623377	77000
"sl.wiktionary"	0.132075471698113	53000
"sm.wikipedia"	1	53000
"species.wikimedia"	0.201026119402985	2144000
"ss.wikipedia"	0.136986301369863	73000
"ti.wikipedia"	0.0327868852459016	61000
"tum.wikipedia"	1	39000
"wa.wikipedia"	0.0197802197802198	910000
"wuu.wikipedia"	0.151750972762646	257000
"za.wikipedia"	0.147826086956522	115000
"zh.wikibooks"	0.445833333333333	240000
"zh.wikinews"	0.103174603174603	504000
"zh.wikiquote"	0.444444444444444	477000
"el.wiktionary"	0.279126213592233	3296000
"cs.wikisource"	0.248520710059172	169000
"cs.wikiversity"	0.205882352941176	102000
"hr.wiktionary"	0.302013422818792	149000
"min.wikipedia"	0.0806451612903226	310000
"qu.wikipedia"	0.0946601941747573	412000
"tpi.wikipedia"	0.115606936416185	173000
"tr.wikiquote"	0.385731559854897	827000
"zh-min-nan.wikipedia"	0.0521472392638037	326000
"DE.wikipedia"	0	72000
"FR.wikipedia"	0	45000
"PL.wikipedia"	0	87000
"RU.wikipedia"	0	171000
"ar.wikibooks"	0.319852941176471	272000
"da.wikisource"	0.115384615384615	78000
"fy.wikipedia"	0.0859154929577465	710000
"id.wikibooks"	0.619596541786744	1735000
"ie.wikipedia"	0.0769230769230769	104000
"it.wikibooks"	0.368838028169014	1136000
"kv.wikipedia"	0.0707070707070707	99000
"mn.wikipedia"	0.0693430656934307	1370000
"mt.wikipedia"	0.136546184738956	249000
"ru.wikinews"	0.223255813953488	215000
"ru.wikivoyage"	0.212264150943396	212000
"scn.wikipedia"	0.136363636363636	572000
"sco.wikipedia"	0.0964230171073095	643000
"sl.wikiquote"	0.0961538461538462	52000
"so.wikipedia"	0.222737819025522	431000
"srn.wikipedia"	0.0298507462686567	67000
"sv.wikisource"	0.567251461988304	171000
"te.wikipedia"	0.200237670825906	1683000
