"hour"	"type"	"N"
3	"desktop"	1021
0	"desktop"	1542
19	"desktop"	2675
21	"desktop"	2807
23	"desktop"	1986
17	"desktop"	2759
20	"desktop"	2639
22	"desktop"	2547
11	"desktop"	2831
16	"desktop"	2901
10	"desktop"	2501
14	"desktop"	2899
12	"desktop"	2737
18	"desktop"	2582
6	"desktop"	941
15	"desktop"	2872
8	"desktop"	1397
4	"desktop"	840
2	"desktop"	1175
13	"desktop"	2991
5	"desktop"	877
9	"desktop"	1981
1	"desktop"	1371
7	"desktop"	1128
6	"mobile"	895
7	"mobile"	1226
18	"mobile"	2822
17	"mobile"	2530
13	"mobile"	2157
0	"mobile"	2335
20	"mobile"	3651
22	"mobile"	3894
14	"mobile"	2177
12	"mobile"	1976
4	"mobile"	615
19	"mobile"	3131
15	"mobile"	2203
23	"mobile"	3064
10	"mobile"	1803
11	"mobile"	1994
21	"mobile"	3892
16	"mobile"	2369
2	"mobile"	1032
9	"mobile"	1727
8	"mobile"	1496
1	"mobile"	1564
5	"mobile"	654
3	"mobile"	793
