"hour"	"type"	"N"
21	"desktop"	3422
16	"desktop"	2688
7	"desktop"	1092
20	"desktop"	3292
10	"desktop"	1797
15	"desktop"	2515
22	"desktop"	3100
11	"desktop"	2097
17	"desktop"	2773
3	"desktop"	1087
19	"desktop"	3075
6	"desktop"	985
23	"desktop"	2677
13	"desktop"	2492
18	"desktop"	2810
12	"desktop"	2289
4	"desktop"	981
14	"desktop"	2632
2	"desktop"	1151
8	"desktop"	1302
9	"desktop"	1532
0	"desktop"	1946
5	"desktop"	849
1	"desktop"	1416
11	"mobile"	2263
15	"mobile"	2538
13	"mobile"	2438
21	"mobile"	3882
0	"mobile"	2324
18	"mobile"	2703
2	"mobile"	1114
22	"mobile"	3912
16	"mobile"	2362
20	"mobile"	3663
10	"mobile"	1870
9	"mobile"	1692
5	"mobile"	473
1	"mobile"	1642
23	"mobile"	3207
17	"mobile"	2460
14	"mobile"	2335
12	"mobile"	2103
6	"mobile"	520
19	"mobile"	3198
8	"mobile"	1203
7	"mobile"	807
3	"mobile"	740
4	"mobile"	551
