"type"	"N"
"mobile"	17
"desktop"	25
"mobile"	1
"desktop"	1
"mobile"	3
"mobile"	11
"mobile"	1
"mobile"	24
"mobile"	3
"desktop"	13
"mobile"	3
"desktop"	32
"desktop"	54
"mobile"	10
"desktop"	48
"mobile"	26
"desktop"	24
"desktop"	289
"mobile"	56
"mobile"	40
"mobile"	2
"desktop"	176
"mobile"	2
"desktop"	22
"mobile"	48
"desktop"	6
"desktop"	2
"mobile"	1
"mobile"	1
"desktop"	2
"desktop"	59
"desktop"	79
"mobile"	79
"desktop"	6
"mobile"	7
"mobile"	8
"mobile"	1
"desktop"	8
"mobile"	7
"desktop"	1
"mobile"	2
"desktop"	6
"desktop"	10
"mobile"	68
"mobile"	1
"mobile"	63
"desktop"	6
"desktop"	3
"desktop"	2
"desktop"	2
"mobile"	8
"desktop"	12
"mobile"	11
"mobile"	2
"desktop"	29
"desktop"	59
"mobile"	2
"mobile"	22
"desktop"	10
"desktop"	1
"mobile"	5
"desktop"	11
"mobile"	2
"mobile"	4
"desktop"	6
"mobile"	1
"desktop"	4
"mobile"	25
"mobile"	6
"mobile"	2
"mobile"	3
"desktop"	8
"mobile"	1
"desktop"	16
"mobile"	1
"mobile"	5
"mobile"	24
"mobile"	1
"mobile"	4
"mobile"	1
"desktop"	1
"desktop"	5
"mobile"	23
"desktop"	50
"mobile"	1
"desktop"	1
"desktop"	1
"desktop"	177
"desktop"	12
"desktop"	510
"mobile"	24
"desktop"	1
"desktop"	36
"desktop"	6
"desktop"	4
"desktop"	21
"desktop"	2
"desktop"	94
"desktop"	11
"desktop"	21
"mobile"	16
"desktop"	1
"mobile"	12
"desktop"	1
"mobile"	27
"desktop"	3
"mobile"	125
"mobile"	112
"mobile"	10
"mobile"	52
"desktop"	59
"mobile"	1
"desktop"	1
"desktop"	20
"desktop"	44
"mobile"	2
"desktop"	3
"desktop"	8
"desktop"	11
"mobile"	21
"desktop"	68
"desktop"	8
"desktop"	52
"mobile"	4
"mobile"	1
"desktop"	3
"desktop"	3
"mobile"	43
"desktop"	4
"mobile"	1
"desktop"	1
"desktop"	5
"desktop"	1
"mobile"	3
"mobile"	1
"mobile"	2
"desktop"	12
"mobile"	5
"mobile"	59
"mobile"	1
"mobile"	164
"mobile"	1
"desktop"	4
"mobile"	3
"desktop"	642
"desktop"	264
"mobile"	3
"desktop"	1
"mobile"	21
"mobile"	6
"desktop"	77
"desktop"	444
"desktop"	15
"mobile"	10
"desktop"	9
"desktop"	15
"desktop"	33
"mobile"	12
"mobile"	3
"desktop"	3
"desktop"	1519
"mobile"	45
"desktop"	1
"mobile"	2
"mobile"	9
"desktop"	3
"mobile"	3
"mobile"	6
"desktop"	1
"mobile"	6
"desktop"	109
"desktop"	17
"desktop"	3
"mobile"	27
"desktop"	9
"mobile"	9
"desktop"	2
"mobile"	2
"mobile"	25
"mobile"	1
"desktop"	8
"mobile"	218
"mobile"	3
"desktop"	1
"desktop"	1
"mobile"	6
"desktop"	36
"mobile"	4
"desktop"	1
"mobile"	4
"mobile"	22
"mobile"	2
"desktop"	8
"desktop"	1
"mobile"	2
"mobile"	4
